
Cycle 1
Physical Cycle 1
Step 1

Time (s),          Potential (V),         Current (A)
7.199744224548     -5.432036876678     -0.009999754839     


Cycle 1
Physical Cycle 1
Step 2

Time (s),          Potential (V),         Current (A)
3074.290771484375     3.000191926956     0.000166875587     
3081.490478515625     3.000191926956     0.000166707439     
3088.690185546875     3.000191926956     0.000166581332     
3095.889892578125     3.000191926956     0.000166413185     
3103.089599609375     3.000191926956     0.000166318598     
3110.289306640625     3.000191926956     0.000166108410     
3117.489257812500     3.000191926956     0.000165908743     
3124.688964843750     3.000191926956     0.000165709062     
3131.888671875000     3.000191926956     0.000165656515     
3139.088378906250     3.000191926956     0.000165414807     
3146.288085937500     3.000191926956     0.000165299207     
3153.487792968750     3.000191926956     0.000165110047     
3160.687500000000     3.000191926956     0.000164962912     
3167.887451171875     3.000191926956     0.000164847312     
3175.087158203125     3.000191926956     0.000164637124     
3182.286865234375     3.000191926956     0.000164521523     
3189.486572265625     3.000191926956     0.000164416429     
3196.686279296875     3.000191926956     0.000164164216     
3203.885986328125     3.000202894211     0.000164017081     
3211.085937500000     3.000202894211     0.000163806893     
3218.285644531250     3.000202894211     0.000163712321     
3225.485351562500     3.000191926956     0.000163554680     
3232.685058593750     3.000191926956     0.000163418066     
3239.884765625000     3.000191926956     0.000163249919     
3247.084472656250     3.000191926956     0.000163039731     
3254.284179687500     3.000191926956     0.000162850556     
3261.484130859375     3.000202894211     0.000162819037     
3268.683837890625     3.000202894211     0.000162577329     
3275.883544921875     3.000202894211     0.000162493248     
3283.083251953125     3.000202894211     0.000162283060     
3290.282958984375     3.000202894211     0.000162146447     
3297.482666015625     3.000202894211     0.000161946766     
3304.682617187500     3.000202894211     0.000161768112     
3311.882324218750     3.000202894211     0.000161642005     
3319.082031250000     3.000202894211     0.000161526405     
3326.281738281250     3.000191926956     0.000161410804     
3333.481445312500     3.000191926956     0.000161253163     
3340.681152343750     3.000191926956     0.000161064003     
3347.880859375000     3.000191926956     0.000160927375     
3355.080810546875     3.000191926956     0.000160769749     
3362.280517578125     3.000191926956     0.000160643627     
3369.480224609375     3.000191926956     0.000160433454     
3376.679931640625     3.000191926956     0.000160317839     
3383.879638671875     3.000191926956     0.000160149706     
3391.079345703125     3.000191926956     0.000160023585     
3398.279052734375     3.000191926956     0.000159886971     
3405.479003906250     3.000191926956     0.000159718824     
3412.678710937500     3.000191926956     0.000159613730     
3419.878417968750     3.000191926956     0.000159340489     
3427.078125000000     3.000191926956     0.000159298448     
3434.277832031250     3.000202894211     0.000159088275     
